DOID	Metab
DOID:12849	HMDB0000187
DOID:8778	HMDB0000187
DOID:1793	HMDB0000187
DOID:3388	HMDB0000187
DOID:9255	HMDB0000187
DOID:13922	HMDB0000187
DOID:9744	HMDB0000190
DOID:12934	HMDB0000190
DOID:1793	HMDB0000190
DOID:5419	HMDB0000190
DOID:0060810	HMDB0000190
DOID:0070002	HMDB0000190
DOID:3652	HMDB0000190
DOID:310	HMDB0000190
DOID:5204	HMDB0000190
DOID:0070242	HMDB0000190
DOID:0060286	HMDB0000190
DOID:0060286	HMDB0000190
DOID:0060286	HMDB0000190
DOID:0080349	HMDB0000190
DOID:3687	HMDB0000190
DOID:0080099	HMDB0000190
DOID:3649	HMDB0000190
DOID:0080132	HMDB0000190
DOID:0050799	HMDB0000190
DOID:0060286	HMDB0000190
DOID:0080363	HMDB0000190
DOID:3651	HMDB0000190
DOID:3649	HMDB0000190
DOID:9269	HMDB0000190
DOID:3652	HMDB0000190
DOID:0060067	HMDB0000190
DOID:1307	HMDB0000190
DOID:3762	HMDB0000190
DOID:0070238	HMDB0000190
DOID:0080124	HMDB0000190
DOID:9256	HMDB0000190
DOID:8778	HMDB0000190
DOID:10652	HMDB0000190
DOID:9255	HMDB0000190
DOID:13922	HMDB0000190
DOID:14701	HMDB0000190
DOID:0110001	HMDB0000190
DOID:0110000	HMDB0000190
DOID:9869	HMDB0000190
DOID:10652	HMDB0000191
DOID:0060650	HMDB0000191
DOID:5419	HMDB0000191
DOID:9256	HMDB0000191
DOID:8778	HMDB0000191
DOID:13189	HMDB0000191
DOID:1793	HMDB0000191
DOID:3388	HMDB0000191
DOID:9255	HMDB0000191
DOID:13922	HMDB0000191
DOID:4890	HMDB0000192
DOID:10652	HMDB0000192
DOID:9256	HMDB0000192
DOID:5419	HMDB0000192
DOID:14330	HMDB0000192
DOID:9266	HMDB0000192
DOID:13922	HMDB0000192
DOID:10652	HMDB0000193
DOID:9255	HMDB0000193
DOID:13922	HMDB0000193
DOID:10652	HMDB0000194
DOID:9256	HMDB0000194
DOID:13922	HMDB0000194
DOID:3613	HMDB0000195
DOID:0060236	HMDB0000195
DOID:9256	HMDB0000195
DOID:8778	HMDB0000195
DOID:13189	HMDB0000195
DOID:13922	HMDB0000195
DOID:8689	HMDB0000197
DOID:12849	HMDB0000197
DOID:1470	HMDB0000197
DOID:9256	HMDB0000197
DOID:13922	HMDB0000197
DOID:0080155	HMDB0000201
DOID:9256	HMDB0000201
DOID:0050710	HMDB0000201
DOID:9970	HMDB0000201
DOID:8778	HMDB0000201
DOID:13922	HMDB0000201
DOID:0060742	HMDB0000202
DOID:0060743	HMDB0000202
DOID:0080124	HMDB0000202
DOID:10652	HMDB0000202
DOID:13922	HMDB0000202
DOID:14701	HMDB0000202
DOID:0050818	HMDB0000202
DOID:0050717	HMDB0000202
DOID:9281	HMDB0000205
DOID:12236	HMDB0000205
DOID:9256	HMDB0000206
DOID:13922	HMDB0000206
DOID:1324	HMDB0000207
DOID:5419	HMDB0000207
DOID:14753	HMDB0000207
DOID:9256	HMDB0000207
DOID:5419	HMDB0000208
DOID:9256	HMDB0000208
DOID:13922	HMDB0000208
DOID:0050575	HMDB0000208
DOID:0070217	HMDB0000208
DOID:9269	HMDB0000208
DOID:9256	HMDB0000209
DOID:8778	HMDB0000209
DOID:9281	HMDB0000209
DOID:13922	HMDB0000209
DOID:9256	HMDB0000210
